StockName,precision_0,precision_1,precision_accuracy,precision_macro avg,precision_weighted avg,recall_0,recall_1,recall_accuracy,recall_macro avg,recall_weighted avg,f1-score_0,f1-score_1,f1-score_accuracy,f1-score_macro avg,f1-score_weighted avg,support_0,support_1,support_accuracy,support_macro avg,support_weighted avg,Matthew,10F-Score-mean,10F-Score-std
1210,0.841726618705036,0.8846153846153846,0.864406779661017,0.8631710016602103,0.8649883222496318,0.8666666666666667,0.8625,0.864406779661017,0.8645833333333334,0.864406779661017,0.8540145985401459,0.8734177215189874,0.864406779661017,0.8637161600295666,0.8645383262574837,135.0,160.0,0.864406779661017,295.0,295.0,0.7277529645567512,0.810522715083405,0.048144324722954684
1231,0.7142857142857143,0.8736842105263158,0.8169491525423729,0.7939849624060151,0.8201911558557411,0.7575757575757576,0.8469387755102041,0.8169491525423729,0.8022572665429808,0.8169491525423729,0.7352941176470589,0.8601036269430051,0.8169491525423729,0.797698872295032,0.8182184017894504,99.0,196.0,0.8169491525423729,295.0,295.0,0.5961848409397309,0.8344350425889585,0.032166933506394324
2344,0.7927927927927928,0.875,0.8440677966101695,0.8338963963963963,0.8440677966101695,0.7927927927927928,0.875,0.8440677966101695,0.8338963963963963,0.8440677966101695,0.7927927927927928,0.875,0.8440677966101695,0.8338963963963963,0.8440677966101695,111.0,184.0,0.8440677966101695,295.0,295.0,0.6677927927927928,0.8312939235457677,0.03960305330396805
2449,0.8272727272727273,0.9513513513513514,0.9050847457627119,0.8893120393120393,0.9092908008162245,0.91,0.9025641025641026,0.9050847457627119,0.9062820512820513,0.9050847457627119,0.8666666666666667,0.9263157894736843,0.9050847457627119,0.8964912280701756,0.9060957478441869,100.0,195.0,0.9050847457627119,295.0,295.0,0.7954130849325874,0.7995213231372414,0.08291050579291397
2603,0.8478260869565217,0.916256157635468,0.8949152542372881,0.8820411222959949,0.8942193552134344,0.8210526315789474,0.93,0.8949152542372881,0.8755263157894737,0.8949152542372881,0.8342245989304813,0.923076923076923,0.8949152542372881,0.8786507610037022,0.8944634627585775,95.0,200.0,0.8949152542372881,295.0,295.0,0.7575394250753968,0.819264785827581,0.04740970377948411
2633,0.7681159420289855,0.7586206896551724,0.7637795275590551,0.763368315842079,0.7636299960256092,0.7910447761194029,0.7333333333333333,0.7637795275590551,0.7621890547263681,0.7637795275590551,0.7794117647058824,0.7457627118644068,0.7637795275590551,0.7625872382851446,0.763514574387075,67.0,60.0,0.7637795275590551,127.0,127.0,0.5255560475363603,0.7983821059543595,0.05353104351248707
3596,0.8296296296296296,0.8875,0.8610169491525423,0.8585648148148148,0.8619978028876334,0.8615384615384616,0.8606060606060606,0.8610169491525423,0.8610722610722611,0.8610169491525423,0.8452830188679247,0.8738461538461538,0.8610169491525423,0.8595645863570393,0.8612590096184596,130.0,165.0,0.8610169491525423,295.0,295.0,0.7196327075005464,0.8492360978446738,0.037548184221123486
1215,0.7410071942446043,0.9038461538461539,0.8271186440677966,0.8224266740453791,0.8387105700055341,0.8728813559322034,0.7966101694915254,0.8271186440677966,0.8347457627118644,0.8271186440677966,0.801556420233463,0.8468468468468469,0.8271186440677966,0.824201633540155,0.8287306762014933,118.0,177.0,0.8271186440677966,295.0,295.0,0.657056962285524,0.8539717171688341,0.03432200511217784
1232,0.7428571428571429,0.8193548387096774,0.7830508474576271,0.7811059907834101,0.7851253612434587,0.7878787878787878,0.7791411042944786,0.7830508474576271,0.7835099460866333,0.7830508474576271,0.7647058823529412,0.7987421383647799,0.7830508474576271,0.7817240103588605,0.7835123560137199,132.0,163.0,0.7830508474576271,295.0,295.0,0.56461081920783,0.7779942327542753,0.06432828109403894
2345,0.916083916083916,0.8486842105263158,0.8813559322033898,0.8823840633051159,0.8838691415631648,0.8506493506493507,0.9148936170212766,0.8813559322033898,0.8827714838353136,0.8813559322033898,0.8821548821548821,0.8805460750853242,0.8813559322033898,0.8813504786201032,0.8813859269114663,154.0,141.0,0.8813559322033898,295.0,295.0,0.7651554490592763,0.7975754681306887,0.0378248404686877
2454,0.6953125,0.8682634730538922,0.7932203389830509,0.7817879865269461,0.8031870052268345,0.8018018018018018,0.7880434782608695,0.7932203389830509,0.7949226400313356,0.7932203389830509,0.7447698744769874,0.8262108262108262,0.7932203389830509,0.7854903503439068,0.7955669426770767,111.0,184.0,0.7932203389830509,295.0,295.0,0.576561035504972,0.8311140246223635,0.027111769127588402
2607,0.7622377622377622,0.9276315789473685,0.847457627118644,0.8449346705925653,0.8603527382519354,0.9083333333333333,0.8057142857142857,0.847457627118644,0.8570238095238095,0.847457627118644,0.8288973384030418,0.8623853211009175,0.847457627118644,0.8456413297519796,0.8487630908509342,120.0,175.0,0.847457627118644,295.0,295.0,0.7018543727349658,0.8260190602934042,0.03529829317274719
2634,0.7575757575757576,0.9012345679012346,0.8222222222222222,0.8294051627384961,0.8349918942511535,0.9036144578313253,0.7525773195876289,0.8222222222222222,0.8280958887094771,0.8222222222222222,0.8241758241758242,0.8202247191011236,0.8222222222222222,0.822200271638474,0.8220466175522356,83.0,97.0,0.8222222222222222,180.0,180.0,0.6574997478757746,0.771281829469666,0.12225660963324321
3682,0.8372093023255814,0.868421052631579,0.848780487804878,0.8528151774785802,0.8504552646505659,0.9152542372881356,0.7586206896551724,0.848780487804878,0.836937463471654,0.848780487804878,0.8744939271255062,0.8098159509202454,0.848780487804878,0.8421549390228757,0.8470452250286393,118.0,87.0,0.848780487804878,205.0,205.0,0.6895698687556882,0.8220150302922686,0.04329654610776375
1216,0.7666666666666667,0.8482758620689655,0.8067796610169492,0.8074712643678161,0.8103759984414574,0.8394160583941606,0.7784810126582279,0.8067796610169492,0.8089485355261943,0.8067796610169492,0.8013937282229966,0.8118811881188119,0.8067796610169492,0.8066374581709043,0.8070107406417723,137.0,158.0,0.8067796610169492,295.0,295.0,0.6164180297260102,0.8005601345178339,0.027137605906438707
1434,0.8874172185430463,0.852112676056338,0.8703071672354948,0.8697649472996922,0.8707891405117638,0.864516129032258,0.8768115942028986,0.8703071672354948,0.8706638616175784,0.8703071672354948,0.8758169934640523,0.8642857142857143,0.8703071672354948,0.8700513538748833,0.87038587903876,155.0,138.0,0.8703071672354948,293.0,293.0,0.7404282632555953,0.8399879911421702,0.021307606603792578
2379,0.8230088495575221,0.8956043956043956,0.8677966101694915,0.8593066225809589,0.8680426967662607,0.8303571428571429,0.8907103825136612,0.8677966101694915,0.860533762685402,0.8677966101694915,0.8266666666666667,0.893150684931507,0.8677966101694915,0.8599086757990868,0.8679092949462116,112.0,183.0,0.8677966101694915,295.0,295.0,0.7198393392886964,0.8019893793754438,0.0678694292826484
2455,0.859375,0.8703703703703703,0.8655172413793103,0.8648726851851851,0.8654034961685824,0.8396946564885496,0.8867924528301887,0.8655172413793103,0.8632435546593691,0.8655172413793103,0.8494208494208494,0.8785046728971964,0.8655172413793103,0.8639627611590228,0.8653668078096052,131.0,159.0,0.8655172413793103,290.0,290.0,0.7281144172855681,0.8532120965578975,0.03157520044645923
2609,0.7377049180327869,0.9651162790697675,0.8707482993197279,0.8514105985512772,0.8908595081189167,0.9375,0.8383838383838383,0.8707482993197279,0.8879419191919191,0.8707482993197279,0.8256880733944955,0.8972972972972972,0.8707482993197279,0.8614926853458964,0.8739146935739334,96.0,198.0,0.8707482993197279,294.0,294.0,0.7384494621200925,0.8406232438499426,0.053913527906490746
2637,0.6984126984126984,0.9452054794520548,0.8308823529411765,0.8218090889323766,0.858102144967576,0.9166666666666666,0.7840909090909091,0.8308823529411765,0.8503787878787878,0.8308823529411765,0.7927927927927927,0.8571428571428572,0.8308823529411765,0.824967824967825,0.8344310697251873,96.0,176.0,0.8308823529411765,272.0,272.0,0.6715804598363571,0.850376438933608,0.02496900831008741
4904,0.8556701030927835,0.7551020408163265,0.78839590443686,0.8053860719545549,0.8000659184894182,0.6335877862595419,0.9135802469135802,0.78839590443686,0.7735840165865611,0.78839590443686,0.7280701754385965,0.8268156424581006,0.78839590443686,0.7774429089483486,0.7826666452582541,131.0,162.0,0.78839590443686,293.0,293.0,0.5780960064726955,0.7664602936432673,0.06215216571440933
1218,0.8661417322834646,0.9166666666666666,0.8949152542372881,0.8914041994750657,0.8954290671293208,0.8870967741935484,0.9005847953216374,0.8949152542372881,0.8938407847575929,0.8949152542372881,0.8764940239043826,0.9085545722713864,0.8949152542372881,0.8925242980878845,0.8950782739747476,124.0,171.0,0.8949152542372881,295.0,295.0,0.7852412039078879,0.8083578062617244,0.048416789371451135
1702,0.8405797101449275,0.8980891719745223,0.8711864406779661,0.8693344410597249,0.8723561246473817,0.8787878787878788,0.8650306748466258,0.8711864406779661,0.8719092768172523,0.8711864406779661,0.8592592592592593,0.88125,0.8711864406779661,0.8702546296296296,0.8714100753295668,132.0,163.0,0.8711864406779661,295.0,295.0,0.7412392457991586,0.8111742920564303,0.03268288339676676
2408,0.8289473684210527,0.9084507042253521,0.8673469387755102,0.8686990363232023,0.8708623923995099,0.9064748201438849,0.832258064516129,0.8673469387755102,0.8693664423300069,0.8673469387755102,0.8659793814432989,0.8686868686868686,0.8673469387755102,0.8673331250650838,0.8674067981873578,139.0,155.0,0.8673469387755102,294.0,294.0,0.7380651768975509,0.7641363455550938,0.08400734500772748
2459,0.8226950354609929,0.9150326797385621,0.8707482993197279,0.8688638575997775,0.8745171827596286,0.8992248062015504,0.8484848484848485,0.8707482993197279,0.8738548273431994,0.8707482993197279,0.8592592592592593,0.880503144654088,0.8707482993197279,0.8698812019566736,0.8711818480012549,129.0,165.0,0.8707482993197279,294.0,294.0,0.7427019154307098,0.8244794003577054,0.03815199063905008
2610,0.7162162162162162,0.9183673469387755,0.8169491525423729,0.8172917815774958,0.8375068946497518,0.8983050847457628,0.7627118644067796,0.8169491525423729,0.8305084745762712,0.8169491525423729,0.7969924812030076,0.8333333333333333,0.8169491525423729,0.8151629072681704,0.8187969924812031,118.0,177.0,0.8169491525423729,295.0,295.0,0.6476654158584217,0.8099199924004299,0.045833945897188484
3034,0.808695652173913,0.9166666666666666,0.8745762711864407,0.8626811594202899,0.8771382952591501,0.8611111111111112,0.8823529411764706,0.8745762711864407,0.8717320261437909,0.8745762711864407,0.8340807174887893,0.8991825613079019,0.8745762711864407,0.8666316393983455,0.8753486659436166,108.0,187.0,0.8745762711864407,295.0,295.0,0.7343574122604974,0.8058211569668907,0.024033334010715272
5388,0.9022556390977443,0.8641975308641975,0.8813559322033898,0.8832265849809708,0.882517027030854,0.8450704225352113,0.9150326797385621,0.8813559322033898,0.8800515511368867,0.8813559322033898,0.8727272727272727,0.8888888888888888,0.8813559322033898,0.8808080808080807,0.8811093990755008,142.0,153.0,0.8813559322033898,295.0,295.0,0.7632715324415288,0.7976327332317362,0.08312920791672676
1227,0.89171974522293,0.717391304347826,0.8101694915254237,0.804555524785378,0.823170256607635,0.7821229050279329,0.853448275862069,0.8101694915254237,0.8177855904450009,0.8101694915254237,0.8333333333333333,0.779527559055118,0.8101694915254237,0.8064304461942255,0.812175808532408,179.0,116.0,0.8101694915254237,295.0,295.0,0.6222004733756106,0.8201846416862727,0.02584960001166569
2330,0.7628205128205128,0.8992805755395683,0.8271186440677966,0.8310505441800405,0.8377579031950451,0.8947368421052632,0.7716049382716049,0.8271186440677966,0.833170890188434,0.8271186440677966,0.8235294117647057,0.8305647840531561,0.8271186440677966,0.8270470979089309,0.8273929043434479,133.0,162.0,0.8271186440677966,295.0,295.0,0.6642180500463071,0.8307091465182539,0.03395839817027275
2412,0.74,0.7447916666666666,0.7431506849315068,0.7423958333333334,0.7427732591324201,0.6016260162601627,0.8461538461538461,0.7431506849315068,0.7238899312070044,0.7431506849315068,0.6636771300448431,0.7922437673130193,0.7431506849315068,0.7279604486789312,0.7380872728473149,123.0,169.0,0.7431506849315068,292.0,292.0,0.46591838963434146,0.7676174930744528,0.06519042837239965
2468,0.7786259541984732,0.8292682926829268,0.8067796610169492,0.8039471234407001,0.8069513299609642,0.7846153846153846,0.8242424242424242,0.8067796610169492,0.8044289044289044,0.8067796610169492,0.7816091954022988,0.8267477203647416,0.8067796610169492,0.8041784578835203,0.8068561669914617,130.0,165.0,0.8067796610169492,295.0,295.0,0.6083758371052199,0.8034787434144839,0.033300817651493134
2615,0.811965811965812,0.9213483146067416,0.8779661016949153,0.8666570632862768,0.8809324068512794,0.8715596330275229,0.8817204301075269,0.8779661016949153,0.8766400315675249,0.8779661016949153,0.8407079646017699,0.901098901098901,0.8779661016949153,0.8709034328503354,0.8787849618508086,109.0,186.0,0.8779661016949153,295.0,295.0,0.7432300529192808,0.8102806421377664,0.049169623436820145
3035,0.797752808988764,0.8926829268292683,0.8639455782312925,0.8452178679090161,0.86265401200217,0.7634408602150538,0.9104477611940298,0.8639455782312925,0.8369443107045418,0.8639455782312925,0.7802197802197802,0.9014778325123152,0.8639455782312925,0.8408488063660478,0.8631206935218194,93.0,201.0,0.8639455782312925,294.0,294.0,0.6821120041327379,0.837906293721457,0.024371180445575815
1229,0.7235772357723578,0.9302325581395349,0.8440677966101695,0.8269048969559463,0.8594793799731455,0.8811881188118812,0.8247422680412371,0.8440677966101695,0.8529651934265592,0.8440677966101695,0.7946428571428573,0.8743169398907104,0.8440677966101695,0.8344798985167838,0.847038694610937,101.0,194.0,0.8440677966101695,295.0,295.0,0.6793704444149596,0.8344445748480833,0.04392797217061491
2337,0.7797619047619048,0.9523809523809523,0.8537414965986394,0.8660714285714286,0.8719428247489472,0.9562043795620438,0.7643312101910829,0.8537414965986394,0.8602677948765634,0.8537414965986394,0.8590163934426229,0.8480565371024734,0.8537414965986394,0.8535364652725481,0.8531636810432914,137.0,157.0,0.8537414965986394,294.0,294.0,0.7263160368289878,0.7803022844206862,0.09033023088721034
2439,0.8405797101449275,0.8181818181818182,0.8338983050847457,0.8293807641633728,0.8326075791072106,0.9157894736842105,0.6857142857142857,0.8338983050847457,0.8007518796992481,0.8338983050847457,0.8765743073047858,0.7461139896373058,0.8338983050847457,0.8113441484710457,0.8301392789824623,190.0,105.0,0.8338983050847457,295.0,295.0,0.6294819583082873,0.8528161452399274,0.030497812828711977
2498,0.7756410256410257,0.8848920863309353,0.8271186440677966,0.8302665559859805,0.8341551530613841,0.8832116788321168,0.7784810126582279,0.8271186440677966,0.8308463457451724,0.8271186440677966,0.8259385665529011,0.8282828282828283,0.8271186440677966,0.8271106974178647,0.8271941372421502,137.0,158.0,0.8271186440677966,295.0,295.0,0.6611126474960376,0.8129704525026075,0.10640338507017097
2618,0.6838709677419355,0.95,0.8101694915254237,0.8169354838709677,0.8480590486604702,0.9380530973451328,0.7307692307692307,0.8101694915254237,0.8344111640571817,0.8101694915254237,0.791044776119403,0.8260869565217392,0.8101694915254237,0.8085658663205711,0.8126640196218613,113.0,182.0,0.8101694915254237,295.0,295.0,0.6511121688075457,0.8122747876099407,0.055187563837194406
3045,0.7552447552447552,0.8187919463087249,0.7876712328767124,0.7870183507767401,0.7894122518099718,0.8,0.7770700636942676,0.7876712328767124,0.7885350318471338,0.7876712328767124,0.7769784172661871,0.7973856209150327,0.7876712328767124,0.7871820190906099,0.787950783611628,135.0,157.0,0.7876712328767124,292.0,292.0,0.5755513842640932,0.7214452412430996,0.11375205164546544
